epoch,acc,loss,val_acc,val_loss
0,0.7845329642295837,0.5564895868301392,0.8022820353507996,0.5502150654792786
1,0.8595329523086548,0.3665076494216919,0.8196410536766052,0.4694163203239441
2,0.8730109930038452,0.33349767327308655,0.8676666617393494,0.33434998989105225
3,0.8826593160629272,0.30945301055908203,0.8503333330154419,0.3860357701778412
4,0.887631893157959,0.2947632670402527,0.7861794829368591,0.5283551812171936
5,0.9060109853744507,0.24400454759597778,0.8867436051368713,0.28665247559547424
6,0.9095988869667053,0.23458242416381836,0.8972564339637756,0.26941028237342834
7,0.9120274782180786,0.22662755846977234,0.9052307605743408,0.2393398880958557
8,0.9145988821983337,0.21985436975955963,0.8945384621620178,0.2703741788864136
9,0.9169945120811462,0.2149222195148468,0.8809743523597717,0.3070373237133026
10,0.9273461699485779,0.18542318046092987,0.9148204922676086,0.22135424613952637
11,0.9312637448310852,0.17517222464084625,0.9100256562232971,0.2345150262117386
12,0.9338901042938232,0.16886578500270844,0.9047436118125916,0.2578662037849426
13,0.9359779953956604,0.16332098841667175,0.9164358973503113,0.21877466142177582
14,0.9382032752037048,0.15726248919963837,0.90974360704422,0.23705925047397614
15,0.9464450478553772,0.137367382645607,0.9173333048820496,0.22482331097126007
16,0.9495879411697388,0.12979722023010254,0.9158974289894104,0.240120992064476
17,0.9518406391143799,0.1247377023100853,0.9174102544784546,0.23845084011554718
18,0.9532307982444763,0.11985353380441666,0.9181538224220276,0.2511001229286194
19,0.9548296928405762,0.11502189189195633,0.9112820625305176,0.2658288776874542
20,0.9609615206718445,0.10164275020360947,0.9190512895584106,0.2560344338417053
21,0.9619725346565247,0.09798731654882431,0.9157692193984985,0.26760566234588623
22,0.9643406867980957,0.09362831711769104,0.916692316532135,0.2723117172718048
23,0.9649560451507568,0.09086603671312332,0.9182307720184326,0.2777682840824127
24,0.9661483764648438,0.08810766041278839,0.9171282052993774,0.2834179699420929
25,0.9691538214683533,0.0802893117070198,0.915871798992157,0.29758602380752563
26,0.9700164794921875,0.07916619628667831,0.9172820448875427,0.2950930595397949
27,0.970456063747406,0.07712338119745255,0.9179999828338623,0.30025655031204224
28,0.9711373448371887,0.07571901381015778,0.9166666865348816,0.30866238474845886
29,0.971532940864563,0.0741887092590332,0.9178205132484436,0.31166329979896545
30,0.9733516573905945,0.06995270401239395,0.9173333048820496,0.3177294433116913
31,0.9738461375236511,0.06848906725645065,0.9180513024330139,0.31892940402030945
32,0.9739285707473755,0.06813991069793701,0.9187692403793335,0.31960511207580566
33,0.9742417335510254,0.06704393774271011,0.918256402015686,0.3260742425918579
34,0.9747362732887268,0.06633365154266357,0.9187436103820801,0.326503187417984
35,0.9756813049316406,0.0642319843173027,0.9181281924247742,0.3305376470088959
36,0.97568678855896,0.06395049393177032,0.9180513024330139,0.33141234517097473
37,0.9756428599357605,0.064090795814991,0.9177179336547852,0.33274224400520325
38,0.9767417311668396,0.06231597810983658,0.917923092842102,0.33394309878349304
39,0.9762033224105835,0.0629599392414093,0.9174615144729614,0.3375670909881592
40,0.9769120812416077,0.06078198924660683,0.9177179336547852,0.3388594388961792
41,0.977142870426178,0.06059014052152634,0.9174872040748596,0.3407933712005615
42,0.9774395823478699,0.06010852009057999,0.917846143245697,0.34153637290000916
43,0.9774395823478699,0.06073366105556488,0.9176923036575317,0.34139248728752136
44,0.977236270904541,0.05975671112537384,0.917923092842102,0.34222593903541565
45,0.977329671382904,0.05990590527653694,0.917512834072113,0.34326714277267456
46,0.9774066209793091,0.06008118763566017,0.917846143245697,0.34524083137512207
47,0.9773021936416626,0.05943701043725014,0.9177948832511902,0.3445969521999359
48,0.9777417778968811,0.05951964855194092,0.9175640940666199,0.3452375531196594
49,0.9776757955551147,0.0592661127448082,0.9175897240638733,0.34546399116516113
