epoch,loss,mae,val_loss,val_mae
0,0.6178645491600037,6.228367805480957,0.916634738445282,9.216204643249512
1,0.3331564664840698,3.3811023235321045,0.7539575099945068,7.58936071395874
2,0.29235589504241943,2.9730167388916016,0.739353597164154,7.443282127380371
3,0.26124730706214905,2.6618311405181885,0.40775802731513977,4.127129077911377
4,0.23422302305698395,2.391456365585327,0.40048640966415405,4.054298400878906
5,0.20138229429721832,2.062809944152832,0.2191000133752823,2.239534854888916
6,0.19295687973499298,1.9785735607147217,0.2194957137107849,2.2437219619750977
7,0.18923769891262054,1.941354751586914,0.21286574006080627,2.177401065826416
8,0.17760178446769714,1.8248637914657593,0.2075943797826767,2.125154733657837
9,0.16923032701015472,1.741064429283142,0.19055888056755066,1.9543395042419434
10,0.15707950294017792,1.6194812059402466,0.14607201516628265,1.5087053775787354
11,0.15302897989749908,1.5789037942886353,0.15905889868736267,1.6388942003250122
12,0.14616402983665466,1.5101474523544312,0.1328592747449875,1.3761502504348755
13,0.15247663855552673,1.5734566450119019,0.14676642417907715,1.5155887603759766
14,0.14104115962982178,1.458810806274414,0.1663322150707245,1.712405800819397
15,0.1311950534582138,1.3602842092514038,0.1310603767633438,1.3575619459152222
16,0.13129934668540955,1.36134672164917,0.1369381546974182,1.4180017709732056
17,0.12816180288791656,1.3299808502197266,0.12468980252742767,1.2944462299346924
18,0.12662340700626373,1.3145768642425537,0.13257768750190735,1.3730664253234863
19,0.12542368471622467,1.302569031715393,0.15474969148635864,1.5965585708618164
20,0.11315226554870605,1.1796298027038574,0.11362256854772568,1.1827762126922607
21,0.11352284997701645,1.1833045482635498,0.11960262060165405,1.2432739734649658
22,0.11147298663854599,1.1627566814422607,0.11184297502040863,1.1645883321762085
23,0.1101033091545105,1.149099588394165,0.11702889204025269,1.2174592018127441
24,0.11010925471782684,1.1491568088531494,0.10978776216506958,1.144100308418274
25,0.10561978071928024,1.104162335395813,0.10694141685962677,1.1151926517486572
26,0.10411761701107025,1.0890599489212036,0.11370231956243515,1.1843109130859375
27,0.10426565259695053,1.090620756149292,0.10513566434383392,1.0972477197647095
28,0.10253819078207016,1.0732488632202148,0.11004234105348587,1.147280216217041
29,0.10068229585886002,1.0546519756317139,0.11085296422243118,1.154681921005249
30,0.09993325918912888,1.0471694469451904,0.10595603287220001,1.105155110359192
31,0.1005556583404541,1.0534026622772217,0.10410245507955551,1.0868620872497559
32,0.09962444752454758,1.0440664291381836,0.1045655906200409,1.0912843942642212
33,0.0972650870680809,1.0204453468322754,0.10522887855768204,1.0980746746063232
34,0.09901908040046692,1.038024663925171,0.10633011162281036,1.1098718643188477
35,0.09934478998184204,1.0413272380828857,0.10362227261066437,1.0818222761154175
36,0.09603433310985565,1.00809645652771,0.10423284769058228,1.0881319046020508
37,0.0980347990989685,1.0282313823699951,0.10372694581747055,1.0828523635864258
38,0.09589725732803345,1.006718635559082,0.10360230505466461,1.0815733671188354
39,0.09465357661247253,0.9942853450775146,0.10340248793363571,1.0797315835952759
40,0.09480194002389908,0.9957827925682068,0.10318619757890701,1.077293872833252
41,0.0947394147515297,0.9951809644699097,0.10312151163816452,1.0766838788986206
42,0.09431930631399155,0.990938127040863,0.10314469039440155,1.076895833015442
43,0.09437187761068344,0.9915079474449158,0.10278573632240295,1.0733075141906738
44,0.09437618404626846,0.9915004372596741,0.10289769619703293,1.0744842290878296
45,0.09526029229164124,1.0003806352615356,0.10300695151090622,1.075467824935913
46,0.09586887061595917,1.006485939025879,0.10331100225448608,1.0788373947143555
47,0.09311119467020035,0.9788345694541931,0.102956622838974,1.0750049352645874
48,0.09463634341955185,0.994128406047821,0.10285095870494843,1.0738928318023682
49,0.09516537934541702,0.9994797706604004,0.10279325395822525,1.073341965675354
